"component_model_id","season","target","weight"
"FluOutlook_Mech","2017/2018","4 wk ahead","0.000191439095918261"
"FluOutlook_MechAug","2017/2018","4 wk ahead","0.128544444276129"
"FluX_ARLR","2017/2018","4 wk ahead","8.50571315262386e-10"
"FluX_LSTM","2017/2018","4 wk ahead","5.73415121944322e-10"
"LANL_DBMplus","2017/2018","4 wk ahead","0.0640904890124034"
"Protea_Cheetah","2017/2018","4 wk ahead","3.74863153842154e-12"
"Protea_Kudu","2017/2018","4 wk ahead","1.37280728252514e-13"
"Protea_Springbok","2017/2018","4 wk ahead","0.35300896192723"
"ReichLab_kcde_backfill_none","2017/2018","4 wk ahead","6.22115954449454e-12"
"ReichLab_kcde_backfill_post_hoc","2017/2018","4 wk ahead","2.29939124455492e-10"
"ReichLab_kde","2017/2018","4 wk ahead","3.95034621040717e-13"
"ReichLab_sarima_seasonal_difference_FALSE","2017/2018","4 wk ahead","1.03608795408186e-12"
"ReichLab_sarima_seasonal_difference_TRUE","2017/2018","4 wk ahead","5.89165014355937e-12"
"UA_EpiCos","2017/2018","4 wk ahead","1.92571062409055e-11"
"CU_EAKFC_SEIRS","2018/2019","1 wk ahead","7.12386561568938e-11"
"CU_EAKFC_SIRS","2018/2019","1 wk ahead","2.69131967273989e-06"
"CU_EKF_SEIRS","2018/2019","1 wk ahead","0.108166464038315"
"CU_EKF_SIRS","2018/2019","1 wk ahead","5.59102079573565e-06"
"CU_RHF_SEIRS","2018/2019","1 wk ahead","1.51820833757009e-16"
"CU_RHF_SIRS","2018/2019","1 wk ahead","7.1142584163556e-06"
"CUBMA","2018/2019","1 wk ahead","8.94378098712571e-18"
"Delphi_BasisRegression","2018/2019","1 wk ahead","1.12804695542527e-12"
"Delphi_EmpiricalFutures","2018/2019","1 wk ahead","6.04904308119805e-19"
"Delphi_EmpiricalTrajectories","2018/2019","1 wk ahead","7.59657043117816e-19"
"Delphi_ExtendedDeltaDensity","2018/2019","1 wk ahead","4.52176248301934e-13"
"Delphi_MarkovianDeltaDensity","2018/2019","1 wk ahead","0.130116052914424"
"Delphi_Uniform","2018/2019","1 wk ahead","2.21532978600302e-19"
"FluOutlook_Mech","2018/2019","1 wk ahead","0.0400441000864586"
"FluOutlook_MechAug","2018/2019","1 wk ahead","0.138829637107409"
"FluX_ARLR","2018/2019","1 wk ahead","6.36347500447489e-21"
"FluX_LSTM","2018/2019","1 wk ahead","9.56877940211066e-19"
"LANL_DBMplus","2018/2019","1 wk ahead","0.320212130312589"
"Protea_Cheetah","2018/2019","1 wk ahead","2.32223402878332e-08"
"Protea_Kudu","2018/2019","1 wk ahead","4.17669279155494e-18"
"Protea_Springbok","2018/2019","1 wk ahead","0.26261619564676"
"ReichLab_kcde_backfill_none","2018/2019","1 wk ahead","1.89991367492032e-19"
"ReichLab_kcde_backfill_post_hoc","2018/2019","1 wk ahead","4.10179431484136e-18"
"ReichLab_kde","2018/2019","1 wk ahead","4.10169535639601e-20"
"ReichLab_sarima_seasonal_difference_FALSE","2018/2019","1 wk ahead","1.51433904387516e-17"
"ReichLab_sarima_seasonal_difference_TRUE","2018/2019","1 wk ahead","3.20242373933284e-17"
"UA_EpiCos","2018/2019","1 wk ahead","4.01072076328043e-18"
"CU_EAKFC_SEIRS","2018/2019","2 wk ahead","0.0557661782846246"
"CU_EAKFC_SIRS","2018/2019","2 wk ahead","3.25076226838253e-11"
"CU_EKF_SEIRS","2018/2019","2 wk ahead","0.158871744975726"
"CU_EKF_SIRS","2018/2019","2 wk ahead","0.00667376901353254"
"CU_RHF_SEIRS","2018/2019","2 wk ahead","0.0425444381297142"
"CU_RHF_SIRS","2018/2019","2 wk ahead","1.09151359419095e-18"
"CUBMA","2018/2019","2 wk ahead","1.73421513876729e-13"
"Delphi_BasisRegression","2018/2019","2 wk ahead","4.20306634628189e-17"
"Delphi_EmpiricalFutures","2018/2019","2 wk ahead","4.80060067476266e-07"
"Delphi_EmpiricalTrajectories","2018/2019","2 wk ahead","3.9433196931353e-07"
"Delphi_ExtendedDeltaDensity","2018/2019","2 wk ahead","0.195978782251455"
"Delphi_MarkovianDeltaDensity","2018/2019","2 wk ahead","0.0288311561348542"
"Delphi_Uniform","2018/2019","2 wk ahead","8.40483193466754e-08"
"FluOutlook_Mech","2018/2019","2 wk ahead","8.30225849751292e-14"
"FluOutlook_MechAug","2018/2019","2 wk ahead","0.161324443070429"
"FluX_ARLR","2018/2019","2 wk ahead","7.33420772865083e-10"
"FluX_LSTM","2018/2019","2 wk ahead","7.54735281884465e-16"
"LANL_DBMplus","2018/2019","2 wk ahead","0.0621131748464515"
"Protea_Cheetah","2018/2019","2 wk ahead","3.53170402603998e-19"
"Protea_Kudu","2018/2019","2 wk ahead","2.7276747981288e-15"
"Protea_Springbok","2018/2019","2 wk ahead","0.287895353299357"
"ReichLab_kcde_backfill_none","2018/2019","2 wk ahead","5.02995221068592e-11"
"ReichLab_kcde_backfill_post_hoc","2018/2019","2 wk ahead","6.53063805964771e-11"
"ReichLab_kde","2018/2019","2 wk ahead","1.30707103589425e-11"
"ReichLab_sarima_seasonal_difference_FALSE","2018/2019","2 wk ahead","2.33160699071162e-11"
