target,location,season,calendar_week,CU_EAKFC_SEIRS,CU_EAKFC_SIRS,CU_EKF_SEIRS,CU_EKF_SIRS,CU_RHF_SEIRS,CU_RHF_SIRS,CUBMA,Delphi_BasisRegression,Delphi_EmpiricalFutures,Delphi_EmpiricalTrajectories,Delphi_ExtendedDeltaDensity,Delphi_MarkovianDeltaDensity,Delphi_Uniform,FluOutlook_Mech,FluOutlook_MechAug,FluX_ARLR,FluX_LSTM,LANL_DBMplus,Protea_Cheetah,Protea_Kudu,Protea_Springbok,ReichLab_kcde_backfill_none,ReichLab_kcde_backfill_post_hoc,ReichLab_kde,ReichLab_sarima_seasonal_difference_FALSE,ReichLab_sarima_seasonal_difference_TRUE,UA_EpiCos
1 wk ahead,HHS Region 1,2010/2011,51,0.6,0.6,0.6,0.6,0.6,0.6,0.241076218317777,0.0024482201,0.161173141,0.16460517,0.000235360021,0.000235360021,0.083969468,0.742664764,0.072129315,0.146574363,0.372144097,0.0991992484,0.499430571258,0.1624621893,0.516,0.0042,0.00396,0.37242126394,0.4949,0.4947,0.2049506
1 wk ahead,HHS Region 1,2010/2011,52,0.66,0.66,0.66,0.66,0.66,0.66,0.5465183307,0.0546416415,0.16617697,0.16617697,0.52718356198,0.7725287586,0.07633588,0.02713894,0.006584061,0.29934891,0.4332898,0.9210900768,0.33587156589,0.1705626316,0.344,0.00166,0.00136,0.27726779074,0.7212,0.8756,0.33281662
1 wk ahead,HHS Region 1,2011/2012,1,0.46,0.46,0.46,0.46,0.46,0.46,3.68786851091276e-10,0.0018159263,0.23363457,0.17340521,0.00018311887,0.00018311887,0.061068704,0.052065198,0.01548404,0.3045066,0.35342924,0.1907430224,0.32269526375,0.144260762,0.324,0.02578,0.02716,0.14312504784,0.4055,0.3841,0.1146606
1 wk ahead,HHS Region 1,2011/2012,2,0.37,0.37,0.37,0.37,0.37,0.37,0.00678028589360613,0.0017642783,0.18641996,0.17638874,0.00018315077,0.00018315077,0.061068704,0.0634178532,0.0764590745,0.3078742,0.29346465,0.0004022432,0.551804733441,0.1016118709,0.555555562,0.0481,0.04688,0.11242719084,0.3683,0.2442,0.10538564
1 wk ahead,HHS Region 1,2011/2012,3,0.17,0.17,0.17,0.17,0.17,0.17,8.31662745882533e-09,0.0017686764,0.19999315,0.17472337,0.000164877762,0.000164877762,0.061068704,0.05618515,0.1059932,0.25342114,0.237103227,0.0004022432,0.336356058,0.00759281891,0.339130449,0.03476,0.03356,0.10226038374,0.2597,0.1933,0.08481591
1 wk ahead,HHS Region 1,2011/2012,4,0.45,0.45,0.45,0.45,0.45,0.45,0.00024580764083334,0.002043977,0.19482877,0.13832364,0.00018276451,0.00018276451,0.061068704,0.05199745,0.08297444,0.26440217,0.29346465,0.0056986822,0.14331818243,0.0650130255,0.144,0.02374,0.02356,0.09229099514,0.3466,0.1766,0.1358179
1 wk ahead,HHS Region 1,2011/2012,5,0.2,0.2,0.2,0.2,0.2,0.2,0.0175802295533198,0.2927476023,0.22962787,0.10897026,0.29461129834,0.29461129834,0.061068704,0.05659469,0.102169,0.30333298,0.29346465,0.0007332706,0.109999993487842,0.075901655,0.11,0.01292,0.01294,0.08084098088,0.4861,0.3764,0.26567503
1 wk ahead,HHS Region 1,2011/2012,6,0.77,0.77,0.77,0.77,0.77,0.77,0.000129558817218421,0.2944116345,0.26063181,0.116814854,0.25754571331,0.25754571331,0.068702292,0.50896337,0.68845532,0.39202903,0.42555779,0.0951263576,0.349999983288775,0.090280248,0.35,0.01316,0.01268,0.11331555584,0.6414,0.3294,0.40512946
1 wk ahead,HHS Region 1,2011/2012,7,0.63,0.63,0.63,0.63,0.63,0.63,0.807149768694583,0.6565674168,0.30734393,0.12909168,0.74112087807,0.74112087807,0.068702292,0.2555531582,0.07068224,0.37637352,0.299974747,0.485076675,0.537999992030916,0.1047991033,0.538,0.0143,0.01458,0.13088540064,0.5167,0.4358,0.24057958
1 wk ahead,HHS Region 1,2011/2012,8,0.15,0.15,0.15,0.15,0.15,0.15,0.683062137710929,0.72316924,0.31147158,0.12752709,0.80841839,0.80841839,0.061068704,0,0,0.24956499,0.186301087,0.0109951228,0.259999994692426,0.092396122,0.26,0.01026,0.01046,0.11509228564,0.2117,0.3069,0.0341444
1 wk ahead,HHS Region 1,2011/2012,9,0.28,0.28,0.28,0.28,0.28,0.28,0.31217236351063,0.0964146115,0.2705005,0.14920257,0.04493157241,0.04493157241,0.061068704,0.07048227,0.04232421,0.31602669,0.237103227,0.1152687224,0.45799474450037,0.160301244,0.458,0.01198,0.0105,0.15289704544,0.3657,0.2577,0.07060952
1 wk ahead,HHS Region 1,2011/2012,10,0.86,0.86,0.86,0.86,0.86,0.86,0.932955232738,0.5997716797,0.31408721,0.18194311,0.59442855511,0.59442855511,0.068702292,0.9515514,0.9953784,0.3791365,0.42555779,0.9442116776,0.772622282,0.24913037,0.772631586,0.01364,0.01376,0.28348633354,0.6737,0.7708,0.32438036
1 wk ahead,HHS Region 1,2011/2012,11,0.34,0.34,0.34,0.34,0.34,0.34,0.877170308765335,0.1451803416,0.28184519,0.18832251,0.08834919367,0.08834919367,0.061068704,0.6794971,0.5826596,0.33741726,0.35342924,0.481716112,0.7499909478311,0.237471508,0.75,0.0217,0.02168,0.30362255094,0.4195,0.4883,0.17463416
