year,calendar.week,season,model.week,location,target,valid.bin_start_incl,bin_end_notincl,CU_EAKFC_SEIRS,CU_EAKFC_SIRS,CU_EKF_SEIRS,CU_EKF_SIRS,CU_RHF_SEIRS,CU_RHF_SIRS,CUBMA,Delphi_BasisRegression,Delphi_EmpiricalFutures,Delphi_EmpiricalTrajectories,Delphi_ExtendedDeltaDensity,Delphi_MarkovianDeltaDensity,Delphi_Uniform,FluOutlook_Mech,FluOutlook_MechAug,FluX_ARLR,FluX_LSTM,LANL_DBMplus,Protea_Cheetah,Protea_Kudu,Protea_Springbok,ReichLab_kcde_backfill_none,ReichLab_kcde_backfill_post_hoc,ReichLab_kde,ReichLab_sarima_seasonal_difference_FALSE,ReichLab_sarima_seasonal_difference_TRUE,UA_EpiCos
2010,43,2010/2011,43,HHS Region 6,2 wk ahead,2.4,2.5,0.002661,0.033331,0.007322,0.036668,0.007343,0.007982,0.07037076,0.0412434,0.01264183,0.01248804,3.619213e-05,8.94695e-05,0.007633588,0.007633588,0.007633588,0.03453752,0.04723009,0.05202158,0.05799984,0.01692843,0.058,0.03952,0.04028,0.01411509,0.0229,0.0264,0.058591
2010,43,2010/2011,43,HHS Region 6,3 wk ahead,2.4,2.5,0.001981,0.016004,0.00134,0.030007,0.001981,0.009327,0.06203489,0.02959269,0.01291084,0.01275929,0.004912999,2.384332e-05,0.007633588,0.007633588,0.007633588,0.03069583,0.005958212,0.03447713,0.05599965,0.008750821,0.056,0.03598,0.0353,0.01756984,0.0222,0.028,0.058392
2010,43,2010/2011,43,HHS Region 6,4 wk ahead,2.6,2.7,0,0.014006,0.00066,0.019349,0.004003,0.006646,0.05130737,0.03468328,0.0134397,0.0132732,0.01066071,2.665778e-05,0.007633588,0.007633588,0.007633588,0.03106104,0.003307963,0.02984275,0.05199972,0.01364316,0.052,0.02658,0.026,0.01816208,0.0194,0.0217,0.045116
2010,43,2010/2011,43,HHS Region 7,1 wk ahead,0.7,0.8,0.1,0.1,0.1,0.1,0.1,0.1,4.975216e-102,0.0002240301,0.02801075,0.01781547,2.28836e-05,2.28836e-05,0.007633588,0,0,0.03276755,0.02358394,5.02804e-05,0.03800003,0.05180403,0.038,0.01652,0.01814,0.07866943,0.0452,0.0873,0.010354
2010,43,2010/2011,43,HHS Region 7,2 wk ahead,1.2,1.3,0.07332,0.090002,0.070021,0.094686,0.00866,0.05066,8.486261e-11,0.1289483,0.01979483,0.01979483,0.1081339,0.195408,0.007633588,0.007718019,0.003570208,0.03017566,0.02355693,0.08644844,0.09999989,0.06780528,0.1,0.06758,0.06982,0.04392459,0.076,0.0711,0.083653
2010,43,2010/2011,43,HHS Region 7,3 wk ahead,1.1,1.2,0.188676,0.176671,0.274017,0.24137,0.21534,0.149312,6.213274e-42,0.07535421,0.02391088,0.02391088,0.06470895,0.1375877,0.007633588,0.01122513,0.007045782,0.03300829,0.004699388,0.06989706,0.06999991,0.04498041,0.07,0.04792,0.0467,0.04945218,0.0723,0.0682,0.054958
2010,43,2010/2011,43,HHS Region 7,4 wk ahead,1,1.1,0.582026,0.542767,0.517372,0.460813,0.664653,0.623462,2.437381e-195,0.05248137,0.0241413,0.0241413,0.03708427,0.06520934,0.007633588,0.6494834,0.6856892,0.03036572,0.00352193,0.05831111,0.07199992,0.03403289,0.072,0.02482,0.02352,0.05448623,0.0689,0.0616,0.032839
2010,43,2010/2011,43,HHS Region 8,1 wk ahead,0.8,0.9,0.03,0.03,0.03,0.03,0.03,0.03,0,0.0002226127,0.03227898,0.02055486,2.282643e-05,2.282643e-05,0.007633588,0.03177971,0.1017093,0.05496346,0.05788896,0.03712535,0.01000005,0.05900785,0.01,0.04584,0.04632,0.05981641,0.0168,0.0261,0.019914
2010,43,2010/2011,43,HHS Region 8,2 wk ahead,0.7,0.8,0.008661,0.00332,0.026663,0.013322,0.191384,0.210084,0,0.1226674,0.0237946,0.0237946,0.1008266,0.1066971,0.007633588,0.006106658,0.004916227,0.04860185,0.067685,0.07453145,0.1279999,0.09996004,0.128,0.02624,0.02608,0.06771296,0.0453,0.0216,0.051556
2010,43,2010/2011,43,HHS Region 8,3 wk ahead,0.7,0.8,0.014023,0.020012,0.037331,0.041998,0.181388,0.2134,6.217249e-15,0.0627047,0.02116674,0.02116674,0.101506,0.04158818,0.007633588,0.005815047,0.004889516,0.04281732,0.07204593,0.04672515,0.1319996,0.07969301,0.132,0.03098,0.02966,0.06504787,0.0489,0.0264,0.047105
2010,43,2010/2011,43,HHS Region 8,4 wk ahead,0.7,0.8,0.030669,0.047348,0.048688,0.055352,0.174054,0.21478,0.004567967,0.05187491,0.01808055,0.01808055,0.08739361,0.06377227,0.007633588,0.005925885,0.005206755,0.03889221,0.07204593,0.0364633,0.1479996,0.09346155,0.148,0.03072,0.02916,0.06485046,0.0542,0.047,0.051542
2010,43,2010/2011,43,HHS Region 9,1 wk ahead,2.3,2.4,0.04,0.04,0.04,0.04,0.04,0.04,0.03366717,0.0005230525,0.009629137,0.01597857,0.001454065,0.001454065,0.007633588,0.9999409,0.9999477,0.03874364,0.06987695,0.06824193,0.07599995,0.02756426,0.076,0.01834,0.01826,0.02576251,0.0401,0.0385,0.061879
2010,43,2010/2011,43,HHS Region 9,2 wk ahead,2.3,2.4,0,0,0.00066,0,0.122705,0.118044,4.328871e-12,0.03730135,0.01826396,0.01826396,0.000152411,2.699707e-05,0.007633588,0.9999407,0.9999464,0.03565622,0.0698766,0.03944254,0.05399978,0.0001087265,0.054,0.01872,0.01536,0.02921725,0.0329,0.0324,0.06627
2010,43,2010/2011,43,HHS Region 9,3 wk ahead,2.5,2.6,0.238062,0.181368,0.239389,0.184081,0.158739,0.100704,0,0.04334483,0.01797615,0.01797615,0.001057888,2.621548e-05,0.007633588,0,0,0.03191454,0.06987656,0.04142871,0.04199988,0.02689773,0.042,0.02074,0.02198,0.02605863,0.0254,0.0323,0.045898
2010,43,2010/2011,43,HHS Region 9,4 wk ahead,2.8,2.9,0.043348,0.045364,0.054016,0.033369,0.028672,0.01937,1.016817e-09,0.03636752,0.01695669,0.01695669,0.002655597,0.002406199,0.007633588,0,0,0.02943655,0.06718521,0.02520836,0.02799991,0.01523526,0.028,0.01532,0.01564,0.02181423,0.0172,0.0203,0.034644
2010,43,2010/2011,43,HHS Region 10,1 wk ahead,0.9,1,0.18,0.18,0.18,0.18,0.18,0.18,0.05440479,0.0002234372,0.01183745,0.01792401,2.291884e-05,2.291884e-05,0.007633588,0,0,0.02901556,0.0389207,5.02804e-05,0.06799996,0.02975319,0.068,0.05018,0.04984,0.04846511,0.0578,0.0665,0.011854
2010,43,2010/2011,43,HHS Region 10,2 wk ahead,1,1.1,0.358051,0.252113,0.288706,0.217386,0.222093,0.090718,0.06121619,0.007690895,0.01967183,0.01967183,0.009762931,2.343686e-05,0.007633588,0,0,0.0305336,0.03082626,0.05831111,0.06000008,0.07794384,0.06,0.06746,0.06974,0.04589873,0.0614,0.0724,0.011384
2010,43,2010/2011,43,HHS Region 10,3 wk ahead,1.2,1.3,0.09401,0.090723,0.140703,0.101399,0.106717,0.04536,0.1744108,0.01665731,0.0199739,0.0199739,0.02050122,0.02136143,0.007633588,0,0,0.02723781,0.02355693,0.056987,0.05599993,0.04796051,0.056,0.0429,0.04284,0.04076597,0.05,0.0525,0.014926
2010,43,2010/2011,43,HHS Region 10,4 wk ahead,1.7,1.8,0.028694,0.023356,0.036014,0.023332,0.028016,0.021335,0.1163658,0.05242506,0.01653598,0.01653598,0.04580515,0.03290018,0.007633588,0,0,0.02645293,0.03887512,0.04043562,0.05199994,0.04230415,0.052,0.04762,0.04854,0.03425131,0.0308,0.0265,0.01331
2010,44,2010/2011,44,US National,1 wk ahead,1.5,1.6,0.06,0.06,0.06,0.06,0.06,0.06,0.1486245,0.0002226709,0.03045752,0.01930347,2.268159e-05,2.268159e-05,0.007633588,0.1956954,0.9141922,0.07078254,0.06995889,0.1192201,0.184,0.2099246,0.184,0.15618,0.15902,0.06356727,0.0951,0.0799,0.088295
2010,44,2010/2011,44,US National,2 wk ahead,1.6,1.7,0.160726,0.143377,0.129347,0.103339,0.038024,0.09938,0.1515286,0.1043997,0.0219815,0.0219815,0.1347785,0.00513474,0.007633588,0,0.008396584,0.0509118,0.06991857,0.05632494,0.1280002,0.1565651,0.128,0.14728,0.1422,0.0611983,0.0561,0.0415,0.067478
2010,44,2010/2011,44,US National,3 wk ahead,1.8,1.9,0.086689,0.072682,0.067358,0.049364,0.023353,0.044693,0.133144,0.0884785,0.02196359,0.02196359,0.09058842,0.1450644,0.007633588,0.114552,0.5120177,0.04186671,0.06988649,0.05334569,0.08800097,0.2236884,0.088,0.08314,0.08338,0.04895864,0.036,0.0282,0.044745
2010,44,2010/2011,44,US National,4 wk ahead,1.7,1.8,0.060026,0.061379,0.051368,0.03934,0.009326,0.04269,0.1529085,0.0571226,0.02121125,0.02121125,0.1084164,0.1399546,0.007633588,0.1258276,0.5087044,0.03905684,0.06211365,0.04937337,0.07800039,0.1334958,0.078,0.11158,0.11384,0.04925476,0.0455,0.0271,0.046847
2010,44,2010/2011,44,HHS Region 1,1 wk ahead,0.6,0.7,0.16,0.16,0.16,0.16,0.16,0.16,0.2670847,0.938681,0.03277758,0.01756115,0.9840251,0.9840251,0.007633588,0.3932873,0.7121811,0.04998686,0.0641137,0.2787754,0.192,0.1901772,0.192,0.01106,0.01104,0.08775047,0.1503,0.1194,0.083589
2010,44,2010/2011,44,HHS Region 1,2 wk ahead,0.7,0.8,0.355405,0.27477,0.347377,0.242065,0.207413,0.163403,0.3449072,0.08597175,0.02086823,0.02086823,0.2401246,0.09146688,0.007633588,0.2629991,0.1718097,0.04390101,0.05589819,0.09240693,0.2079997,0.1101839,0.208,0.02498,0.02484,0.07689271,0.095,0.1063,0.065593
2010,44,2010/2011,44,HHS Region 1,3 wk ahead,0.8,0.9,0.139386,0.095386,0.172035,0.123414,0.106696,0.065351,0.3606726,0.07287594,0.02437613,0.02437613,0.1649421,0.09603888,0.007633588,0.1770738,0.1737374,0.0422702,0.04742218,0.08975871,0.1580001,0.1513583,0.158,0.02958,0.02992,0.07373408,0.0744,0.0863,0.049199
2010,44,2010/2011,44,HHS Region 1,4 wk ahead,0.7,0.8,0.210058,0.142749,0.172737,0.133387,0.088704,0.098727,0.1482143,0.03632287,0.02548215,0.02548215,0.09998376,0.1717208,0.007633588,0.1681787,0.2369458,0.04036963,0.02358394,0.1089583,0.1380005,0.1386256,0.138,0.0186,0.01836,0.06929227,0.083,0.0985,0.031962
2010,44,2010/2011,44,HHS Region 2,1 wk ahead,1.4,1.5,0.03,0.03,0.03,0.03,0.03,0.03,0.2090462,0.0002216007,0.009071706,0.01720806,2.26772e-05,2.26772e-05,0.007633588,0.4306674,0.4531239,0.04634969,0.05589973,5.02804e-05,0.09400001,0.1068778,0.094,0.07936,0.07958,0.03464614,0.0508,0.0563,0.079388
2010,44,2010/2011,44,HHS Region 2,2 wk ahead,1.4,1.5,0.004001,0.069348,0.002,0.020688,0.011324,0.052021,0.1799582,0.0440091,0.02092967,0.02092967,0.001516261,2.26227e-05,0.007633588,0.283508,0.3021937,0.03873925,0.06255878,0.01262932,0.08399996,0.07438584,0.084,0.06234,0.06304,0.0397789,0.0505,0.044,0.092327
2010,44,2010/2011,44,HHS Region 2,3 wk ahead,1.7,1.8,0.010665,0.038018,0.006663,0.017346,0.013986,0.038038,0.1338311,0.05665183,0.02343806,0.02343806,0.0013673,2.295913e-05,0.007633588,0.1670066,0.1928458,0.03267624,0.03915562,0.006339801,0.09999982,0.06680244,0.1,0.0626,0.06014,0.03632415,0.0302,0.0322,0.04816
2010,44,2010/2011,44,HHS Region 2,4 wk ahead,2.2,2.3,0.006002,0.020013,0.004642,0.014666,0.006682,0.015352,0.07951387,0.080827,0.02613681,0.02613681,0.003750823,0.007875492,0.007633588,0.03002539,0.02858041,0.02577657,0.008750424,0.003691582,0.05999996,0.05128697,0.06,0.04064,0.03958,0.02971079,0.0154,0.0122,0.020988
2010,44,2010/2011,44,HHS Region 3,1 wk ahead,1.3,1.4,0.07,0.07,0.07,0.07,0.07,0.07,0.2602147,0.005432636,0.03093281,0.01661329,2.27293e-05,2.27293e-05,0.007633588,0.1222332,0.7692065,0.04310206,0.03887749,0.1745017,0.1119999,0.04403866,0.112,0.1461,0.14434,0.05004442,0.0775,0.0697,0.093905
2010,44,2010/2011,44,HHS Region 3,2 wk ahead,1.3,1.4,0,0,0.00066,0,0.072712,0.017328,0.1184797,0.01151191,0.01942331,0.01942331,0.1282814,0.09938495,0.007633588,0.03065132,0.4776251,0.03948826,0.01739666,0.09803439,0.07799984,0.03338566,0.078,0.09396,0.09312,0.04728062,0.0609,0.0589,0.060768
2010,44,2010/2011,44,HHS Region 3,3 wk ahead,1.5,1.6,0.230107,0.162765,0.224064,0.142068,0.108701,0.120068,0.002325198,0.01104802,0.01785791,0.01785791,0.08642003,0.1458194,0.007633588,0.3150814,0.132782,0.03533865,0.008687451,0.07221426,0.1219994,0.0372411,0.122,0.04664,0.04542,0.0468858,0.0505,0.0502,0.061117
2010,44,2010/2011,44,HHS Region 3,4 wk ahead,1.5,1.6,0.176745,0.124743,0.166734,0.094722,0.070015,0.092711,0.02793373,0.005816471,0.02028276,0.02028276,0.06228747,0.1239788,0.007633588,0.2523951,0.101357,0.02931044,0.001575903,0.06195241,0.1059996,0.04681562,0.106,0.04282,0.0419,0.044122,0.0478,0.0467,0.040139
2010,44,2010/2011,44,HHS Region 4,1 wk ahead,1.6,1.7,0.13,0.13,0.13,0.13,0.13,0.13,0.07420643,0.0002214597,0.029728,0.02286963,2.267319e-05,2.267319e-05,0.007633588,0.2718251,0,0.05500894,0.06991857,0.02189809,0.1619998,0.001076146,0.162,0.0714,0.06948,0.04540519,0.0988,0.1068,0.10377
2010,44,2010/2011,44,HHS Region 4,2 wk ahead,1.8,1.9,0.070688,0.030004,0.067347,0.027345,0.052673,0.018666,0.07107141,0.1567382,0.02415868,0.02415868,0.1084294,2.247471e-05,0.007633588,0.02590953,0,0.0365015,0.06720488,0.07916583,0.0939998,0.04850617,0.094,0.05818,0.05856,0.03523838,0.0477,0.0651,0.071325
2010,44,2010/2011,44,HHS Region 4,3 wk ahead,2.2,2.3,0.028011,0.012666,0.038672,0.019329,0.02001,0.008685,0.02813446,0.05585273,0.02407956,0.02407956,0.05281806,0.06826137,0.007633588,0.004326785,0,0.02593852,0.03888809,0.06129035,0.04799993,0.04468674,0.048,0.02828,0.02818,0.02655217,0.0215,0.0369,0.054917
2010,44,2010/2011,44,HHS Region 4,4 wk ahead,1.9,2,0.03604,0.018691,0.038016,0.018693,0.01601,0.015349,0.02778841,0.08070594,0.02441016,0.02441016,0.03065902,0.03533817,0.007633588,0.001703679,0.0327911,0.02928286,0.06551591,0.05533186,0.05199989,0.04662984,0.052,0.04134,0.04198,0.03563321,0.0336,0.0451,0.038282
2010,44,2010/2011,44,HHS Region 5,1 wk ahead,0.9,1,0.14,0.14,0.14,0.14,0.14,0.14,0.08885023,0.0002223499,0.03067555,0.01925039,2.282251e-05,2.282251e-05,0.007633588,0,0,0.06495566,0.06800602,0.1102824,0.1579999,0.009139201,0.158,0.00722,0.00592,0.06721943,0.1862,0.1725,0.10615
2010,44,2010/2011,44,HHS Region 5,2 wk ahead,0.9,1,0.003341,0.162048,0.015324,0.070686,0.085357,0.242774,0.07366168,0.02977999,0.02226926,0.02226926,0.02638478,0.001401736,0.007633588,0,4.195377e-05,0.04899537,0.06255755,0.07122117,0.1039997,0.007972524,0.104,0.01552,0.01462,0.05843451,0.1349,0.1258,0.074769
2010,44,2010/2011,44,HHS Region 5,3 wk ahead,1,1.1,0.065395,0.143413,0.064046,0.116729,0.103385,0.146086,0.06236771,0.03151495,0.02236399,0.02236399,0.05679144,0.01277144,0.007633588,0,0,0.04150778,0.06236454,0.05864213,0.09599934,0.002508035,0.096,0.00822,0.00856,0.06050735,0.0875,0.0999,0.069986
2010,44,2010/2011,44,HHS Region 5,4 wk ahead,0.9,1,0.008665,0.242827,0.023352,0.124046,0.079368,0.278142,0.05346947,0.01959361,0.02147775,0.02147775,0.02306658,0.0312726,0.007633588,0,0,0.03984846,0.0473352,0.05963521,0.01600023,0.03052888,0.016,0.00364,0.00354,0.05665778,0.0895,0.1016,0.041017
2010,44,2010/2011,44,HHS Region 6,1 wk ahead,2.4,2.5,0.02,0.02,0.02,0.02,0.02,0.02,0.06396178,0.0002186658,0.03199181,0.01248804,2.282574e-05,2.282574e-05,0.007633588,0.09658054,0.5067888,0.0455014,0.06211194,0.03149788,0.07799994,0.01681415,0.078,0.02998,0.03138,0.01658277,0.0369,0.0326,0.098934
2010,44,2010/2011,44,HHS Region 6,2 wk ahead,2.4,2.5,0.010661,0.042669,0.015342,0.042684,0.021342,0.01999,0.05902179,0.04263604,0.01291084,0.01275929,0.07868539,0.1276541,0.007633588,0.05588321,0.2563163,0.03598096,0.01245314,0.04473898,0.07399974,0.008777669,0.074,0.04024,0.04076,0.01924785,0.0312,0.0269,0.093497
2010,44,2010/2011,44,HHS Region 6,3 wk ahead,2.6,2.7,0.007301,0.018664,0.005983,0.017346,0.010662,0.008662,0.04678549,0.04572363,0.0134397,0.0132732,0.04644569,0.1137478,0.007633588,0.5332895,0.1431165,0.03172346,0.003076078,0.02818761,0.06599962,0.01366867,0.066,0.02912,0.0278,0.01885303,0.0199,0.0231,0.071852
